Date,Latitude,Longitude,Gear,Depth_range_m,Type
14/07/2021,33.8064,-120.4189,MOCNESS,400-600,Other
17/07/2021,36.2005,-123.036,DeepNet,700-1000,Other
17/07/2021,36.5122,-122.273,DeepNet,300-500,Other
18/07/2021,36.5196,-122.2968,MOCNESS,400-600,Other
21/07/2021,35.7467,-121.6759,RingNet,0-400,Other
23/07/2021,36.1346,-122.102,BongoNet,0-500,Cycle 1
24/07/2021,36.1927,-122.4567,RingNet,0-500,Cycle 1
27/07/2021,36.0881,-122.3225,MOCNESS,300-600,Cycle 2
28/07/2021,36.316,-122.7499,MOCNESS,350-450,Cycle 2
29/07/2021,36.3576,-122.8607,BongoNet,0-300,Cycle 2
30/07/2021,36.4218,123.0222,RingNet,0-300,Cycle 2
03/08/2021,34.7136,-130.5414,RingNet,0-50,Cycle 3
04/08/2021,34.6385,-130.5178,RingNet,0-50,Cycle 3
05/08/2021,34.5435,-130.483,MOCNESS,600-750,Cycle 3
06/08/2021,34.5029,-130.4235,RingNet,0-300,Cycle 3
08/08/2021,35.0296,-126.6382,RingNet,0-300,Other
10/08/2021,35.2885,-121.3928,SalpNet,0-350,Other
11/08/2021,34.3609,-121.4641,RingNet,0-300,Other
